id,cohort,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1021,5,0.8045,0.0676,0.1330,0.3977,0.8730,0.9790,0.5587,0.1097,0.4519,0.3079,0.9806
1022,3,0.5306,0.8220,0.1583,0.7076,0.2049,0.9811,0.8402,0.6821,0.3643,0.0986,0.5609
1023,3,0.3715,0.8062,0.2768,0.7458,0.3997,0.9799,0.5883,0.5942,0.6802,0.0266,0.7254
1024,3,0.3959,0.9061,0.8819,0.7448,0.4381,0.9582,0.1243,0.1798,0.9266,0.1409,0.3517
1025,1,0.1298,0.0088,0.4444,0.2081,0.3042,0.0753,0.9456,0.4371,0.0622,0.6444,0.8410
1026,1,0.4518,0.6998,0.5716,0.7738,0.1815,0.8217,0.5914,0.2417,0.0063,0.8503,0.2143
1027,4,0.8942,0.8541,0.6568,0.2364,0.3645,0.6894,0.5685,0.4475,0.9484,0.2839,0.8516
1028,2,0.3549,0.1633,0.5629,0.5230,0.5480,0.5965,0.8963,0.5764,0.3098,0.5853,0.6182
1029,5,0.9734,0.5884,0.9205,0.5309,0.0164,0.2937,0.1983,0.1094,0.4511,0.8374,0.1191
1030,4,0.4535,0.5664,0.6384,0.5462,0.8602,0.4463,0.4495,0.4745,0.3292,0.5530,0.7436
1031,2,0.7461,0.5401,0.7773,0.3515,0.4165,0.0026,0.0252,0.9535,0.5865,0.2264,0.1882
1032,4,0.1402,0.3304,0.6278,0.0207,0.7643,0.1229,0.2947,0.9266,0.4922,0.1510,0.2121
1033,5,0.6590,0.6549,0.0947,0.4383,0.4668,0.9438,0.0404,0.2148,0.0310,0.0491,0.7287
1034,3,0.7321,0.0991,0.6138,0.7337,0.2275,0.0685,0.2270,0.9542,0.9549,0.1483,0.9932
1035,3,0.8764,0.4987,0.7807,0.6295,0.2254,0.9868,0.1496,0.1710,0.8883,0.2462,0.6859
1036,1,0.1338,0.8922,0.0384,0.7154,0.0850,0.1308,0.2399,0.6805,0.4564,0.7314,0.4015
1037,5,0.5604,0.6415,0.8116,0.7476,0.3348,0.9450,0.0294,0.3816,0.1052,0.0362,0.2522
1038,3,0.2227,0.8592,0.6663,0.0333,0.0892,0.3322,0.9605,0.9887,0.7394,0.2268,0.3154
1039,3,0.3700,0.0883,0.9776,0.8930,0.2883,0.8823,0.6697,0.8476,0.4452,0.2340,0.8976
1040,1,0.1719,0.7673,0.7140,0.3364,0.3957,0.5061,0.2267,0.9856,0.1248,0.1342,0.1490
1041,5,0.8259,0.4248,0.1331,0.7417,0.3932,0.2417,0.8372,0.6705,0.5782,0.2040,0.0905
1042,4,0.1311,0.1688,0.1878,0.9426,0.2070,0.9287,0.3112,0.3569,0.8626,0.3587,0.1333
1043,1,0.9557,0.3199,0.2114,0.7266,0.0547,0.3199,0.7168,0.3098,0.2399,0.6697,0.0341
1044,1,0.4133,0.3401,0.2715,0.6255,0.7977,0.0138,0.3521,0.5166,0.2129,0.1469,0.6620
1045,3,0.5180,0.8583,0.2070,0.1150,0.3249,0.1642,0.3934,0.9851,0.5819,0.9163,0.4129
1046,1,0.3862,0.6563,0.7475,0.5981,0.6080,0.5762,0.7262,0.2409,0.5513,0.8786,0.2039
1047,4,0.2611,0.7439,0.0733,0.2318,0.6748,0.5405,0.4570,0.4433,0.9361,0.0181,0.1981
1048,2,0.4107,0.5603,0.7819,0.5758,0.6135,0.9193,0.9830,0.5820,0.6557,0.9654,0.2729
1049,2,0.5933,0.6773,0.5774,0.2831,0.9589,0.3338,0.5146,0.9664,0.1380,0.5759,0.8602
1050,2,0.4475,0.2888,0.3269,0.7516,0.0823,0.6754,0.0776,0.2022,0.4453,0.3991,0.9661
1051,1,0.6032,0.5394,0.2775,0.8151,0.3803,0.8689,0.2820,0.7125,0.1023,0.4262,0.5323
1052,2,0.5328,0.9451,0.6539,0.1329,0.4473,0.1488,0.4035,0.4344,0.2597,0.9125,0.6966
1053,1,0.1990,0.2478,0.4302,0.2771,0.2610,0.9060,0.5500,0.7814,0.2205,0.6383,0.6491
1054,3,0.1313,0.9617,0.1167,0.8768,0.2494,0.0680,0.6476,0.3855,0.0043,0.1981,0.4176
1055,5,0.1849,0.9285,0.3771,0.8988,0.0289,0.0341,0.7581,0.6368,0.1657,0.3815,0.2556
1056,5,0.4534,0.6424,0.6710,0.9634,0.0264,0.2088,0.7303,0.0847,0.9349,0.0640,0.9907
1057,1,0.8527,0.7053,0.1088,0.9723,0.7172,0.9788,0.2904,0.3301,0.6459,0.1592,0.8875
1058,5,0.2607,0.3198,0.7210,0.1148,0.8451,0.7980,0.3602,0.6254,0.6183,0.1979,0.4954
1059,4,0.3274,0.2568,0.1572,0.2603,0.2144,0.3750,0.7425,0.6692,0.0028,0.4136,0.3062
1060,3,0.4242,0.2534,0.2299,0.0573,0.5801,0.3924,0.0560,0.3884,0.1786,0.0400,0.0897
1061,2,0.9401,0.3973,0.7516,0.7855,0.1295,0.0459,0.4068,0.9354,0.5673,0.7531,0.0467
1062,5,0.3613,0.2664,0.7692,0.5689,0.9785,0.5985,0.7440,0.5668,0.1296,0.4125,0.3599
1063,2,0.7867,0.7944,0.5820,0.2080,0.8512,0.4653,0.8757,0.2766,0.5235,0.1656,0.7111
1064,5,0.2027,0.1530,0.1072,0.8953,0.3247,0.8830,0.5394,0.1547,0.0293,0.9392,0.3946
1065,5,0.9395,0.2084,0.5265,0.1287,0.3483,0.4169,0.0919,0.9272,0.0202,0.9884,0.7824
1066,2,0.2007,0.0237,0.1026,0.8806,0.0085,0.3528,0.2092,0.3621,0.5073,0.8815,0.9707
1067,4,0.7212,0.4290,0.6508,0.3813,0.1766,0.6616,0.8265,0.8469,0.2114,0.9564,0.2497
1068,1,0.9451,0.7275,0.1765,0.4982,0.1622,0.5536,0.2379,0.0902,0.8548,0.7002,0.5913
1069,1,0.8418,0.0057,0.0451,0.9489,0.7836,0.6714,0.6770,0.3357,0.0675,0.8684,0.1978
1070,2,0.1394,0.3824,0.7230,0.1978,0.5882,0.6618,0.6451,0.6972,0.3706,0.1510,0.6236
1071,3,0.9310,0.6765,0.0046,0.3656,0.1195,0.1829,0.2595,0.8703,0.2671,0.4563,0.7125
1072,5,0.0314,0.0234,0.2901,0.0061,0.3400,0.7545,0.4678,0.5467,0.9562,0.0618,0.1004
1073,4,0.0906,0.3215,0.1894,0.8394,0.4007,0.6503,0.7517,0.3248,0.4745,0.1991,0.9261
1074,4,0.3678,0.6337,0.5801,0.6453,0.3141,0.8448,0.1504,0.6216,0.1417,0.6610,0.1978
1075,2,0.6087,0.5235,0.8052,0.6768,0.3196,0.8465,0.8452,0.6747,0.2876,0.6381,0.0673
1076,2,0.0322,0.3359,0.0454,0.8794,0.6702,0.2959,0.8288,0.1268,0.2341,0.8461,0.2018
1077,3,0.3503,0.7966,0.9876,0.7092,0.5545,0.0948,0.7857,0.2765,0.7370,0.0903,0.9747
1078,5,0.1581,0.2032,0.3710,0.0796,0.3591,0.7399,0.8169,0.7125,0.7985,0.6176,0.1230
1079,5,0.7059,0.6763,0.9073,0.5055,0.3913,0.9775,0.8686,0.1320,0.8278,0.0080,0.5798
1080,4,0.3070,0.2785,0.8920,0.2277,0.6700,0.8791,0.2633,0.3019,0.0790,0.5546,0.0866
1081,3,0.5980,0.1394,0.3325,0.0753,0.4446,0.6564,0.4397,0.8815,0.9274,0.6372,0.9980
1082,3,0.8919,0.5533,0.2550,0.0251,0.5202,0.5114,0.9894,0.0402,0.0650,0.5680,0.7764
1083,4,0.9205,0.9242,0.8830,0.5092,0.5549,0.4279,0.7700,0.1588,0.6467,0.7666,0.2771
1084,1,0.4914,0.0767,0.7847,0.2766,0.7584,0.3204,0.1701,0.7924,0.9493,0.6943,0.0953
1085,5,0.1793,0.4737,0.8442,0.8769,0.0960,0.2119,0.5128,0.8351,0.3689,0.3689,0.8611
1086,5,0.2250,0.6350,0.5442,0.8761,0.1259,0.5266,0.1083,0.1658,0.8045,0.6530,0.1051
1087,5,0.8799,0.9231,0.2322,0.2149,0.4505,0.6941,0.8880,0.1910,0.0717,0.2746,0.2601
1088,1,0.1958,0.6649,0.0141,0.2195,0.4189,0.8443,0.1798,0.4213,0.6924,0.1525,0.3463
1089,1,0.8050,0.1171,0.3244,0.2392,0.0170,0.7198,0.7961,0.6875,0.8212,0.3814,0.9971
1090,1,0.0919,0.6800,0.9254,0.1984,0.3383,0.3662,0.3507,0.7042,0.3671,0.8932,0.6249
1091,1,0.8330,0.6070,0.0011,0.4469,0.0790,0.2414,0.1011,0.5982,0.2488,0.9435,0.8561
1092,1,0.8395,0.3598,0.9924,0.8977,0.2239,0.4192,0.3514,0.6560,0.6866,0.5272,0.8630
1093,5,0.3475,0.0306,0.1174,0.8375,0.5835,0.9570,0.2986,0.8725,0.1775,0.2879,0.7370
1094,1,0.3600,0.4225,0.2123,0.6743,0.2902,0.9592,0.5542,0.7127,0.1361,0.3584,0.7430
1095,4,0.9575,0.1679,0.7224,0.7380,0.7246,0.1324,0.0592,0.0532,0.1859,0.2824,0.6570
1096,4,0.7886,0.9323,0.7626,0.4208,0.1390,0.1958,0.6691,0.3633,0.5239,0.9593,0.5895
1097,5,0.0805,0.1790,0.6988,0.8551,0.6241,0.7632,0.9373,0.7102,0.7139,0.8761,0.7816
1098,2,0.7564,0.8466,0.0402,0.4805,0.3344,0.9217,0.3476,0.0940,0.2491,0.3118,0.9038
1099,3,0.3674,0.0221,0.1369,0.6438,0.6372,0.4155,0.8527,0.2227,0.4534,0.1086,0.5016
1100,1,0.7303,0.0052,0.1161,0.0389,0.4930,0.1238,0.3514,0.1358,0.3632,0.2741,0.3051
1101,5,0.2160,0.2484,0.3578,0.7701,0.0012,0.8725,0.3294,0.6899,0.6062,0.4281,0.9225
1102,3,0.5407,0.4558,0.7414,0.1911,0.7726,0.6919,0.2764,0.8565,0.0278,0.1573,0.0303
1103,1,0.6845,0.4465,0.0287,0.7413,0.4611,0.2567,0.9255,0.6452,0.3200,0.5518,0.3262
1104,1,0.1022,0.0944,0.9367,0.3142,0.7931,0.1644,0.9287,0.8457,0.8294,0.5392,0.2752
1105,4,0.3534,0.8404,0.6952,0.6133,0.8448,0.8350,0.5058,0.1007,0.7595,0.4743,0.1500
1106,5,0.7585,0.2621,0.5348,0.5515,0.8817,0.4447,0.1702,0.2328,0.2153,0.1198,0.8557
1107,5,0.9259,0.4430,0.0516,0.2624,0.4268,0.7981,0.5103,0.2998,0.8923,0.4122,0.2344
1108,5,0.9548,0.7109,0.0175,0.2731,0.6780,0.3998,0.2413,0.5990,0.2713,0.0374,0.6087
1109,2,0.0921,0.5080,0.5735,0.6678,0.9721,0.3287,0.7525,0.6151,0.6198,0.6326,0.8665
1110,5,0.6114,0.8276,0.0802,0.9280,0.7615,0.2317,0.4247,0.9756,0.3702,0.9267,0.2587
1111,2,0.3192,0.9702,0.1396,0.0579,0.5924,0.8050,0.5250,0.8374,0.1506,0.5541,0.9389
1112,1,0.7069,0.0623,0.6409,0.2976,0.6278,0.7044,0.3249,0.2667,0.9651,0.9231,0.0550
1113,4,0.0561,0.8342,0.1438,0.7482,0.8276,0.6180,0.2349,0.8553,0.7676,0.6988,0.4265
1114,3,0.0729,0.4581,0.2226,0.5477,0.0537,0.7684,0.1734,0.3257,0.7051,0.1513,0.1989
1115,2,0.2545,0.2836,0.7138,0.3292,0.1082,0.7531,0.1681,0.2801,0.9031,0.9366,0.9812
1116,5,0.9797,0.6736,0.0144,0.1564,0.2802,0.2544,0.8603,0.6638,0.4942,0.6272,0.5672
1117,4,0.0180,0.7209,0.0045,0.0111,0.0342,0.5870,0.2665,0.4218,0.2808,0.6304,0.8855
1118,4,0.8407,0.3348,0.1211,0.2676,0.5456,0.6441,0.6859,0.3536,0.3184,0.0293,0.6244
1119,1,0.8472,0.7771,0.1376,0.2891,0.3056,0.3502,0.3299,0.3643,0.1136,0.0137,0.2616
1120,1,0.5962,0.6026,0.2767,0.7468,0.1248,0.7325,0.3538,0.1122,0.7766,0.6730,0.6520
1121,1,0.8310,0.4582,0.8504,0.1523,0.2319,0.3835,0.0762,0.4453,0.7368,0.4148,0.9825
1122,5,0.7500,0.5232,0.9299,0.9404,0.1107,0.1658,0.4511,0.8551,0.2713,0.7761,0.3293
1123,3,0.8063,0.9634,0.4419,0.0629,0.0412,0.6713,0.4399,0.8689,0.7004,0.5692,0.6572
1124,2,0.3554,0.2469,0.3886,0.6020,0.1589,0.2990,0.8186,0.3225,0.4947,0.1121,0.9306
1125,2,0.3290,0.0937,0.3319,0.0135,0.4614,0.5722,0.2734,0.3059,0.9658,0.7408,0.8391
